Site,Date,Time_collected,Sampling_direction,Measurement,Temp_C,Ms_cm,DO_percent,DO_ch,Ft,pH,YSI_Notes
Imbali,June_15,08:35,W_E,1,14.5,2.313,NA,54.5,32,8.22,"DO% kept dropping to below 30%, but unsure of what to do. Only took one measurement for enviro."
Imbali,June_15,08:35,W_E,2,NA,NA,NA,NA,NA,NA,
Imbali,June_15,08:35,W_E,3,NA,NA,NA,NA,NA,NA,
Hoyo Hoyo,June_15,09:51,NW_SE,1,15.49,3.133,8.4,51.2,32.93,8.28,Left for about three minutes in water to have DO% stabilize
Hoyo Hoyo,June_15,09:51,NW_SE,2,15.74,3.155,8.3,50.2,32.73,8.27,
Hoyo Hoyo,June_15,09:51,NW_SE,3,15.56,3.126,7.6,50.2,32.814,8.28,
Nhlanguleni,June_15,12:05,N_S,1,20.29,2.034,144.4,60.4,32.75,8.71,
Nhlanguleni,June_15,12:05,N_S,2,20.16,2.021,147.3,61.4,32.735,8.7,
Nhlanguleni,June_15,12:05,N_S,3,20.38,2.024,134.6,58.4,32.735,8.7,
Kwaggas Pan,June_15,02:29,E_W,1,21.84,1.922,168,59.4,32.587,9.85,
Kwaggas Pan,June_15,02:29,E_W,2,21.06,1.874,177.3,60.4,32.596,9.92,
Kwaggas Pan,June_15,02:29,E_W,3,21.1,1.873,180.4,60.4,32.623,9.95,
De Laporte,June_15,03:14,N_S,1,21.31,2.96,105.5,56.3,32.676,9.01,
De Laporte,June_15,03:14,N_S,2,21.69,2.944,101.6,56.3,32.793,9.03,
De Laporte,June_15,03:14,N_S,3,21.79,2.955,104.2,56.3,32.695,9.04,
Orpen,June_16,11:01,N_S,1,16.71,0.422,133,53.3,32.331,9.4,
Orpen,June_16,11:01,N_S,2,17.03,0.41,137.6,53.3,32.337,9.43,
Orpen,June_16,11:01,N_S,3,17.07,0.418,126.9,52.3,31.337,9.43,
Satara West,June_16,13:05,NE_SW,1,21.6,0.555,185.4,59.4,32.932,9.54,
Satara West,June_16,13:05,NE_SW,2,21.96,0.558,185.7,60.4,33.021,9.63,
Satara West,June_16,13:05,NE_SW,3,21.99,0.573,194.8,61.4,32.9,9.77,
Kwaggas Pan,June_16,15:44,E_W,1,18.93,1.875,177.4,57.4,32.446,9.96,
Kwaggas Pan,June_16,15:44,E_W,2,19.02,1.878,164.1,57.4,32.544,10,
Kwaggas Pan,June_16,15:44,E_W,3,18.72,1.863,169.8,57.4,32.427,9.99,
De Laporte,June_16,16:15,N_S,1,20.17,2.945,129.9,56.3,32.592,9.06,
De Laporte,June_16,16:15,N_S,2,20.35,2.951,124.5,56.3,32.652,9.07,
De Laporte,June_16,16:15,N_S,3,20.26,2.951,123.2,56.3,32.628,9.09,
Kwaggas Pan,June_17,14:50,E_W,1,18.01,1.895,143.9,56.3,32.529,9.92,
Kwaggas Pan,June_17,14:50,E_W,2,17.93,1.861,140.8,55.3,32.561,9.94,
Kwaggas Pan,June_17,14:50,E_W,3,17.93,1.86,140.5,55.3,32.636,9.97,
De Laporte,June_17,15:55,N_S,1,19.91,2.977,134.9,55.3,32.75,9.14,
De Laporte,June_17,15:55,N_S,2,19.43,2.976,130,55.3,32.732,9.11,
De Laporte,June_17,15:55,N_S,3,19.41,2.977,129.7,55.3,32.694,9.17,
Ngotso North,June_18,08:49,N_S,1,14.93,0.482,98.1,47.1,33.302,9.23,YSI taken S_N originally but samples taken N_S so order has been reversed in the digital version so that sample order matches YSI measurement order
Ngotso North,June_18,08:49,N_S,2,14.96,0.482,98.1,47.1,33.302,9.23,YSI taken S_N originally but samples taken N_S so order has been reversed in the digital version so that sample order matches YSI measurement order
Ngotso North,June_18,08:49,N_S,3,14.89,0.481,94.6,46.1,33.257,9.24,YSI taken S_N originally but samples taken N_S so order has been reversed in the digital version so that sample order matches YSI measurement order
Nyamahri,June_18,09:23,N_S,1,15.12,0.505,67.3,45.1,33.241,8.95,
Nyamahri,June_18,09:23,N_S,2,14.73,0.5,65.7,44.1,33.272,8.9,
Nyamahri,June_18,09:23,N_S,3,14.72,0.5,65.9,44.1,33.272,8.88,
Witpens,June_18,10:09,N_S,1,15.2,0.599,205,57.4,33.057,9.61,
Witpens,June_18,10:09,N_S,2,15.05,0.597,201.8,56.3,33.057,9.63,
Witpens,June_18,10:09,N_S,3,14.53,0.602,184.6,54.3,33.122,9.5,
Kwaggas Pan,June_18,01:25,E_W,1,18.26,1.878,134.8,53.3,32.932,9.81,
Kwaggas Pan,June_18,01:25,E_W,2,18.51,1.878,132.7,53.3,32.952,9.66,
Kwaggas Pan,June_18,01:25,E_W,3,17.33,1.856,137.8,53.3,32.953,9.62,
De Laporte,June_18,01:50,N_S,1,19.78,2.977,133.9,55.3,32.984,9.21,
De Laporte,June_18,01:50,N_S,2,19.93,2.971,133,55.3,33.083,9.22,
De Laporte,June_18,01:50,N_S,3,19.84,2.964,133.3,55.3,33.15,9.21,
Kwaggas Pan,June_19,14:19,E_W,1,18.9,1.871,158.6,55.3,33.111,9.91,
Kwaggas Pan,June_19,14:19,E_W,2,18.99,1.706,155,55.3,33.212,9.92,
Kwaggas Pan,June_19,14:19,E_W,3,19.71,1.828,151.1,55.3,33.133,9.92,
De Laporte,June_19,14:47,N_S,1,20.39,2.999,136.4,55.3,33.152,9.18,
De Laporte,June_19,14:47,N_S,2,20.79,2.971,134.9,55.3,33.148,9.16,
De Laporte,June_19,14:47,N_S,3,20.78,2.974,137.2,55.3,33.156,9.2,
Nwaswitshaka,June_19,15:25,N_S,1,21.21,0.963,202.5,56.3,33.096,9.94,
Nwaswitshaka,June_19,15:25,N_S,2,21.01,0.966,238.3,59.4,33.255,10,
Nwaswitshaka,June_19,15:25,N_S,3,20.34,0.964,249.7,61.4,33.226,10.12,
Imbali,June_22,08:00,W_E,1,15.13,2.454,77.1,46.1,33.071,8.15,
Imbali,June_22,08:00,W_E,2,15.18,2.458,74.5,47.1,33.134,8.19,
Imbali,June_22,08:00,W_E,3,15.19,2.459,72.8,47.1,33.113,8.22,
Hoyo Hoyo,June_22,08:35,NW_SE,1,17.56,3.18,16.1,43.1,33.032,8.13,
