Site,Sample_code,Sample_lost,Date_collected,Time_collected,Sampling_direction,Wind_direction,Sampling_side,Sampling_notes,Cooler_temp_C,Time_fozen,Thaw_start_date,Thaw_start_time,Thaw_end_date,Thaw_end_time,Thaw_location,Date_filtered,Filtration_start,Filtration_finish,Speed_qualitative,Funnel_type,Number_filters,Replicate_taken,Number_filters_replicate,Voucher_taken,Water_colour,Filtration_notes
Imbali,IMB_1A,Y,June_15,8:25,W_E,None,NA,Water visibly clear; Hyaena 20 minutes before sampling; elephant immediately after,4,19:05,NA,NA,,,NA,NA,NA,NA,,,,NA,,N,NA,Sample broke in freezer
Imbali,IMB_1B,,June_15,8:27,W_E,None,NA,Water visibly clear; Hyaena 20 minutes before sampling; elephant immediately after,4,NA,NA,NA,,,NA,NA,16:30,16:45,Fast,,1,Y,1,Y,Clear,"First sample filtered night of collection , but repliate samples filtered the next day after realizing that samples break in freezer "
Imbali,IMB_1C,Y,June_15,8:30,W_E,None,NA,Water visibly clear; Hyaena 20 minutes before sampling; elephant immediately after,4,19:05,NA,NA,,,NA,NA,NA,NA,,,,NA,,N,NA,Sample broke in freezer
Hoyo Hoyo,HOY_1A,,June_15,9:32,NW_SE,None,NA,Water murkier than Imbali; turned over less by elephants; smaller trough; borehole; previously fed by grey water which is human wastewater naturally filtered through reed bed - does not think this is still happening as it is done in times of water restriction,4,19:05,June_17,9:00,,,Room,June_18,19:05,22:30,Fast,,1,Y,1,Y,Brown,"Sample thawed room temperature, then placed in fridge overnight"
Hoyo Hoyo,HOY_1B,,June_15,9:35,NW_SE,None,NA,Water murkier than Imbali; turned over less by elephants; smaller trough; borehole; previously fed by grey water which is human wastewater naturally filtered through reed bed - does not think this is still happening as it is done in times of water restriction,4,NA,NA,NA,,,NA,NA,15:35,15:37,Fast,,1,Y,1,Y,Brown,"First sample filtered night of collection , but repliate samples filtered the next day after realizing that samples break in freezer "
Hoyo Hoyo,HOY_1C,Y,June_15,9:37,NW_SE,None,NA,Water murkier than Imbali; turned over less by elephants; smaller trough; borehole; previously fed by grey water which is human wastewater naturally filtered through reed bed - does not think this is still happening as it is done in times of water restriction,4,19:05,NA,NA,,,NA,NA,NA,NA,,,,NA,,N,NA,Sample broke in freezer
Nhlanguneli,NHL_1A,Y,June_15,12:05,N_S,N_S,W,,4,19:05,NA,NA,,,NA,NA,NA,NA,,,,NA,,N,NA,Sample broke in freezer
Nhlanguneli,NHL_1B,,June_15,12:06,N_S,N_S,W,,4,NA,NA,NA,,,NA,June_15,19:24,20:06,Slow,,1,Y,1,Y,Brown,"First sample filtered night of collection , but repliate samples filtered the next day after realizing that samples break in freezer "
Nhanguleni,NHL_1C,,June_15,12:07,N_S,N_S,W,C sample from scummy end,4,19:05,June_17,9:00,,,Room,June_18,19:05,22:30,Slow,,1,Y,1,Y,Brown,"Sample thawed room temperature, then placed in fridge overnight"
Kwaggas Pan,KWA_1A,Y,June_15,14:29,E_W,N_S,N,Scum on SE side but not directly sampled,4,19:05,NA,NA,,,NA,NA,NA,NA,,,,NA,,N,NA,Sample broke in freezer
Kwaggas Pan,KWA_1B,,June_15,14:33,E_W,N_S,N,Scum on SE side but not directly sampled,4,19:05,June_19,22:00,June_23,11:30,Fridge,June_23,11:59,,,,,,,,,Sample kept in a state of near freezing from June 16 to June 20 when put in fridge to thaw
Kwaggas Pan,KWA_1C,,June_15,14:35,E_W,N_S,N,Scum on SE side but not directly sampled,4,19:05,June_16,5:30,June_24,12:00,Fridge,June_24,21:12,,,Polysulfone,3,Y,3,Y,Tan-green,Sample kept in a state of near freezing from June 16 to June 20 when put in fridge to thaw
De Laporte,DLP_1A,,June_15,15:09,N_S,N_S,W,Scum at C - South end,4,19:05,June_17,9:00,June_18,,Room,June_18,19:05,22:30,Fast,,1,Y,1,Y,Clear,"Sample thawed room temperature, then placed in fridge overnight"
De Laporte,DLP_1B,,June_15,15:10,N_S,N_S,W,Scum at C - South end,4,19:05,June_16,5:30,June_23,20:00,Fridge,June_23,20:30,20:55,Fast,Polysulfone,1,Y,1,Y,Clear,Sample kept in a state of near freezing from June 16 to June 20 when put in fridge to thaw - sample still had about 100mL of ice at the time of filtration. 
