MSW05_Order	MSW05_Family	MSW05_Binomial	AdultBodyMass_g	AdultHeadBodyLen_mm	AgeatFirstBirth_d	BasalMetRate_mLO2hr	BasalMetRateMass_g	DietBreadth	GestationLen_d	HabitatBreadth	HomeRange_km2	InterbirthInterval_d	LitterSize	LittersPerYear	MaxLongevity_m	NeonateBodyMass_g	NeonateHeadBodyLen_mm	PopulationDensity_n_km2	PopulationGrpSize	SexualMaturityAge_d	SocialGrpSize	Terrestriality	TrophicLevel	WeaningAge_d	WeaningBodyMass_g	WeaningHeadBodyLen_mm	GR_Area_km2	GR_MaxLat_dd	GR_MinLat_dd	GR_MidRangeLat_dd	GR_MaxLong_dd	GR_MinLong_dd	GR_MidRangeLong_dd	HuPopDen_Min_n_km2	HuPopDen_Mean_n_km2	HuPopDen_Change	Precip_Mean_mm	Temp_Mean_01degC	AET_Mean_mm	PET_Mean_mm
Artiodactyla	Camelidae	Camelus_dromedarius	492714.47	NA	1651.62	40293	407000	3	386.51	1	196.32	614.41	0.98	1	480	36751.19	NA	0.98	11	1947.94	10	1	1	389.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carnivora	Canidae	Canis_adustus	10392.49	745.32	NA	NA	NA	6	65	1	1.01	NA	4.5	NA	137	NA	NA	0.74	NA	249.88	NA	1	2	52.89	NA	NA	10581413.14	16.72	-28.73	-6	43.55	-17.53	13	0	35.2	0.14	90.75	236.51	922.9	1534.4
Carnivora	Canidae	Canis_aureus	9658.7	827.53	NA	NA	NA	6	61.24	1	2.95	365	3.74	NA	192	211.82	NA	0.22	NA	371.23	NA	1	2	61.3	NA	NA	25739527.43	47	-4.71	21.14	108.54	-17.05	45.74	0	79.29	0.1	44.61	217.23	438.02	1358.98
Carnivora	Canidae	Canis_latrans	11989.1	872.39	365	3699	10450	1	61.74	1	18.88	365	5.72	NA	262	200.01	NA	0.25	NA	372.9	NA	1	3	43.71	NA	NA	17099094.3	71.39	8.02	39.7	-67.07	-168.12	-117.6	0	27.27	0.06	53.03	58.18	503.02	728.37
Carnivora	Canidae	Canis_lupus	31756.51	1055	547.5	11254.2	33100	1	63.5	1	159.86	365	4.98	2	354	412.31	NA	0.01	NA	679.37	NA	1	3	44.82	NA	NA	50803439.7	83.27	11.48	47.38	179.65	-171.84	3.9	0	37.87	0.04	34.79	4.82	313.33	561.11
Artiodactyla	Bovidae	Bos_frontalis	800143.05	2700	NA	NA	NA	3	273.75	NA	NA	403.02	1.22	1	314.4	22977.05	NA	0.54	NA	610.97	40	NA	1	186.67	NA	NA	2294331.63	28.01	2.86	15.43	108.68	73.55	91.12	1	152.67	0.09	145.21	229.71	1053.45	1483.02
Artiodactyla	Bovidae	Bos_grunniens	500000	NA	NA	NA	NA	2	273.75	NA	NA	NA	1	1	267	NA	NA	NA	NA	755.15	110	NA	1	243.33	NA	NA	1523540.07	38.88	29.66	34.27	99.23	75.91	87.57	0	2.03	0.05	30.41	-59.31	246.2	732.74
Artiodactyla	Bovidae	Bos_javanicus	635974.34	2075	912.5	NA	NA	2	296.78	1	NA	NA	1.22	1	318.96	NA	NA	0.75	21	797.31	40	1	1	287.74	NA	NA	1687920.66	25.08	-8.78	8.15	118.35	94.94	106.64	1	139.21	0.11	187.69	239.18	1301.28	1592.26
Primates	Pitheciidae	Callicebus_cupreus	1117.02	354.99	NA	NA	NA	NA	129.25	1	NA	395.41	1.01	NA	NA	73.6	NA	4.89	NA	NA	2.05	2	NA	201.85	NA	NA	690923.14	-2.5	-10.67	-6.58	-61.59	-74.92	-68.25	0	1.07	0.05	196.01	255.36	1529.55	1573.18
Primates	Pitheciidae	Callicebus_discolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
