"order","family","genus","binomial","synonym"
"Anura","PIPIDAE","Xenopus","Xenopus laevis",NA
"Anura","PIPIDAE","Xenopus","Xenopus muelleri",NA
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus garmani","Bufo garmani"
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus gutturalis","Bufo gutturalis"
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus gutturalis","Bufo regularis"
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus maculates","Bufo maculatus"
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus maculates","Bufo pusillus"
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus rangeri","Bufo rangeri"
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus rangeri","Bufo fenoulheti"
"Anura","BUFONIDAE","Amietophrynus","Amietophrynus rangeri","Bufo vertebralis"
"Anura","BUFONIDAE","Schismaderma","Schismaderma carens","Bufo carens"
"Anura","BREVICEPITIDAE","Breviceps","Breviceps adspersus",NA
"Anura","MICROHYLIDAE","Phrynomantis","Phrynomantis bifasciatus","Brachymerus bifasciatus"
"Anura","PYXICEPHALIDAE","Amietia","Amietia angolensis","Afrana angolensis"
"Anura","PYXICEPHALIDAE","Amietia","Amietia angolensis","Rana angolensis"
"Anura","PYXICEPHALIDAE","Cacosternum","Cacosternum boettgeri",NA
"Anura","PYXICEPHALIDAE","Pyxicephalus","Pyxicephalus edulis","Pyxicephalus adspersus"
"Anura","PYXICEPHALIDAE","Strongylopus","Strongylopus fasciatus",NA
"Anura","PYXICEPHALIDAE","Tomopterna","Tomopterna cryptotis","Tomopterna delalandii"
"Anura","PYXICEPHALIDAE","Tomopterna","Tomopterna krugerensis",NA
"Anura","PYXICEPHALIDAE","Tomopterna","Tomopterna marmorata",NA
"Anura","PYXICEPHALIDAE","Tomopterna","Tomopterna natalensis",NA
"Anura","PTYCHADENIDAE","Hildebrandtia","Hildebrandtia ornata",NA
"Anura","PTYCHADENIDAE","Ptychadena","Ptychadena anchietae",NA
"Anura","PTYCHADENIDAE","Ptychadena","Ptychadena mossambica",NA
"Anura","PTYCHADENIDAE","Ptychadena","Ptychadena oxyrhynchus",NA
"Anura","PHRYNOBATRACHIDAE","Phrynobatrachus","Phrynobatrachus mababiensis",NA
"Anura","PHRYNOBATRACHIDAE","Phrynobatrachus","Phrynobatrachus natalensis",NA
"Anura","RHACOPHORIDAE","Chiromantis","Chiromantis xerampelina",NA
"Anura","ARTHROLEPTIDAE","Arthroleptis","Arthroleptis stenodactylus",NA
"Anura","ARTHROLEPTIDAE","Leptopelis","Leptopelis mossambicus",NA
"Anura","HEMISOTIDAE","Hemisus","Hemisus marmoratus",NA
"Anura","HYPEROLIIDAE","Afrixalus","Afrixalus aureus",NA
"Anura","HYPEROLIIDAE","Hyperolius","Hyperolius pusillus",NA
"Anura","HYPEROLIIDAE","Hyperolius","Hyperolius marmoratus","Hyperolius viridiflavus"
"Anura","HYPEROLIIDAE","Hyperolius","Hyperolius tuberilinguis",NA
"Anura","HYPEROLIIDAE","Kassina","Kassina maculata",NA
"Anura","HYPEROLIIDAE","Kassina","Kassina senegalensis",NA
