"order","family","genus","binomial","synonym"
"Struthioniformes","STRUTHIONIDAE","Struthio","Struthio camelus",NA
"Podicipediformes","PODICIPEDIDAE","Trachybaptus","Trachybaptus ruficollis","Colymbus ruficollis"
"Pelecaniformes","PELECANIDAE","Pelecanus","Pelecanus onocrotalus",NA
"Pelecaniformes","PELECANIDAE","Pelecanus","Pelecanus rufescens",NA
"Suliformes","PHALACROCORACIDAE","Phalacrocorax","Phalacrocorax lucidus","Phalacrocorax carbo"
"Suliformes","PHALACROCORACIDAE","Phalacrocorax","Phalacrocorax lucidus","Pelecanus carbo"
"Suliformes","PHALACROCORACIDAE","Phalacrocorax","Phalacrocorax africanus","Pelecanus africanus"
"Suliformes","ANHINGIDAE","Anhinga","Anhinga rufa","Anhinga melanogaster"
"Pelecaniformes","ARDEIDAE","Ardea","Ardea cinerea",NA
"Pelecaniformes","ARDEIDAE","Ardea","Ardea melanocephala",NA
"Pelecaniformes","ARDEIDAE","Ardea","Ardea goliath",NA
"Pelecaniformes","ARDEIDAE","Ardea","Ardea purpurea",NA
"Pelecaniformes","ARDEIDAE","Egretta","Egretta alba","Casmerodius albus"
"Pelecaniformes","ARDEIDAE","Egretta","Egretta alba","Ardea alba"
"Pelecaniformes","ARDEIDAE","Egretta","Egretta garzetta","Ardea garzetta"
"Pelecaniformes","ARDEIDAE","Egretta","Egretta intermedia","Ardea intermedia"
"Pelecaniformes","ARDEIDAE","Egretta","Egretta ardesiaca","Ardea ardesiaca"
"Pelecaniformes","ARDEIDAE","Bubulcus","Bubulcus ibis","Ardea ibis"
"Pelecaniformes","ARDEIDAE","Ardeola","Ardeola ralloides","Ardea ralloides"
"Pelecaniformes","ARDEIDAE","Butorides","Butorides striatus","Ardea striatus"
"Pelecaniformes","ARDEIDAE","Butorides","Butorides rufiventris","Ardeola rufiventris"
"Pelecaniformes","ARDEIDAE","Butorides","Butorides rufiventris","Ardea rufiventris"
"Pelecaniformes","ARDEIDAE","Nycticorax","Nycticorax nycticorax","Ardea nycticorax"
"Pelecaniformes","ARDEIDAE","Gorsachius","Gorsachius leuconotus","Ardea leuconotus"
"Pelecaniformes","ARDEIDAE","Ixobrychus","Ixobrychus minutus","Ardea minuta"
"Pelecaniformes","ARDEIDAE","Ixobrychus","Ixobrychus sturmii","Ardeirallus sturmii"
"Pelecaniformes","ARDEIDAE","Ixobrychus","Ixobrychus sturmii","Ardea sturmii"
"Pelecaniformes","ARDEIDAE","Botaurus","Botaurus stellaris","Ardea stellaris"
"Pelecaniformes","SCOPIDAE","Scopus","Scopus umbretta",NA
"Ciconiiformes","CICONIIDAE","Ciconia","Ciconia ciconia","Ardea ciconia"
"Ciconiiformes","CICONIIDAE","Ciconia","Ciconia nigra","Ardea nigra"
"Ciconiiformes","CICONIIDAE","Ciconia","Ciconia abdimii",NA
"Ciconiiformes","CICONIIDAE","Ciconia","Ciconia episcopus","Ardea episcopus"
"Ciconiiformes","CICONIIDAE","Anastomus","Anastomus lamelligerus",NA
"Ciconiiformes","CICONIIDAE","Ephippiorhynchus","Ephippiorhynchus senegalensis","Mycteria senegalensis"
"Ciconiiformes","CICONIIDAE","Leptoptilos","Leptoptilos crumeniferus","Ciconia crumenifera"
"Ciconiiformes","CICONIIDAE","Mycteria","Mycteria ibis","Tantalus ibis"
"Pelecaniformes","THRESKIORNITHIDAE","Threskiornis","Threskiornis aethiopicus","Tantalus aethiopicus"
"Pelecaniformes","THRESKIORNITHIDAE","Plegadis","Plegadis falcinellus","Tantalus falcinellus"
"Pelecaniformes","THRESKIORNITHIDAE","Bostrychia","Bostrychia hagedash","Hagedashia hagedash"
"Pelecaniformes","THRESKIORNITHIDAE","Bostrychia","Bostrychia hagedash","Tantalus hagedash"
"Pelecaniformes","THRESKIORNITHIDAE","Platalea","Platalea alba",NA
"Phoenicopteriformes","PHOENICOPTERIDAE","Phoenicopterus","Phoenicopterus ruber",NA
"Phoenicopteriformes","PHOENICOPTERIDAE","Phoeniconaias","Phoeniconaias minor","Phoenicopterus minor"
"Anseriformes","ANATIDAE","Dendrocygna","Dendrocygna viduata","Anas viduata"
"Anseriformes","ANATIDAE","Dendrocygna","Dendrocygna bicolor","Anas bicolor"
"Anseriformes","ANATIDAE","Thalassornis","Thalassornis leuconotus",NA
"Anseriformes","ANATIDAE","Alopochen","Alopochen aegyptiacus","Anas aegyptiaca"
"Anseriformes","ANATIDAE","Anas","Anas undulata",NA
