"class","order","family","genus","binomial","synonym"
"Dipnoi","LEPIDOSIRENIFORMES","PROTOPTERIDAE","Protopterus","Protopterus annectens",NA
"Actinopterygii","MORMYRIFORMES","MORMYRIDAE","Marcusenius","Marcusenius pongolensis","Marcusenius macrolepidotus"
"Actinopterygii","MORMYRIFORMES","MORMYRIDAE","Marcusenius","Marcusenius pongolensis","Gnathonemus pongolensis"
"Actinopterygii","MORMYRIFORMES","MORMYRIDAE","Petrocephalus","Petrocephalus wesselsi","Petrocephalus catostoma"
"Actinopterygii","MORMYRIFORMES","MORMYRIDAE","Petrocephalus","Petrocephalus wesselsi","Petrocephalus stuhlmanni"
"Actinopterygii","ANGUILLLIFORMES","ANGUILLIDAE","Anguilla","Anguilla mossambica","Anguilla capensis"
"Actinopterygii","ANGUILLLIFORMES","ANGUILLIDAE","Anguills","Anguills labiata","Anguilla bengalensis"
"Actinopterygii","ANGUILLLIFORMES","ANGUILLIDAE","Anguills","Anguills labiata","Anguills nebulosa"
"Actinopterygii","ANGUILLLIFORMES","ANGUILLIDAE","Anguilla","Anguilla marmorata","Anguilla bengalensis"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Mesobola","Mesobola brevianalis","Engraulicypris brevianalis"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Opsaridium","Opsaridium peringueyi","Opsaridium zambezense"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Opsaridium","Opsaridium peringueyi","Barilius zambezensis"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius annectens","Barbus annectens"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius unitaeniatus","Barbus unitaeniatus"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius unitaeniatus","Barbus labialis"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius viviparus","Barbus viviparus"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius toppini","Barbus toppini"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius toppini","Barbus umbeluziensis"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius radiatus","Barbus radiatus"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius radiatus","Barbus bierabarbus"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius trimaculatus","Barbus trimaculatus"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius eutaenia","Barbus eutaenia"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius eutaenia","Barbus kerstenii"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius argenteus","Barbus argenteus"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius argenteus","Barbus crocodilensis"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius paludinosus","Barbus paludinosus"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius paludinosus","Barbus longicauda"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius mattozi","Barbus mattozi"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius mattozi","Barbus rapax"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius afrohamiltoni","Barbus afrohamiltoni"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Enteromius","Enteromius afrohamiltoni","Barbus hamiltoni"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Labeobarbus","Labeobarbus maraquensis","Barbus marequensis"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Labeobarbus","Labeobarbus maraquensis","Barbus brucii"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Labeo","Labeo rosae","Labeo hamiltoni"
"Actinopterygii","CYPRINIFORMES","CYPRINIDAE","Labeo","Labeo ruddi","Labeo tenuirostris"
