"order","family","genus","binomial","synonym"
"INSECTIVORA","SORICIDAE","Crocidura","Crocidura cyanea",NA
"INSECTIVORA","SORICIDAE","Crocidura","Crocidura fuscomurina",NA
"INSECTIVORA","SORICIDAE","Crocidura","Crocidura hirta",NA
"INSECTIVORA","SORICIDAE","Crocidura","Crocidura mariquensis",NA
"INSECTIVORA","SORICIDAE","Crocidura","Crocidura silacea",NA
"INSECTIVORA","SORICIDAE","Suncus","Suncus lixus",NA
"INSECTIVORA","ERINACEIDAE","Atelerix","Atelerix frontalis",NA
"INSECTIVORA","CHRYSOCHLORIDAE","Calcochloris","Calcochloris obtrusirostris",NA
"INSECTIVORA","CHRYSOCHLORIDAE","Neamblysomus","Neamblysomus julianae","Amblysomus julianae"
"CHIROPTERA","PTEROPODIDAE","Epomophorus","Epomophorus crypturus",NA
"CHIROPTERA","PTEROPODIDAE","Epomophorus","Epomophorus wahlbergi",NA
"CHIROPTERA","PTEROPODIDAE","Rousettus","Rousettus aegyptiacus",NA
"CHIROPTERA","PTEROPODIDAE","Taphozous","Taphozous mauritianus",NA
"CHIROPTERA","NYCTERIDAE","Nycteris","Nycteris thebaica",NA
"CHIROPTERA","NYCTERIDAE","Nycteris","Nycteris woodi",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus blasii",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus clivosus",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus darlingi",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus fumigatus",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus hildebrandtii",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus landeri",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus simulator",NA
"CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus swinnyi",NA
"CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Hipposideros caffer",NA
"CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Hipposideros commersoni",NA
"CHIROPTERA","VESPERTILIONIDAE","Miniopterus","Miniopterus schreibersii",NA
"CHIROPTERA","VESPERTILIONIDAE","Myotis","Myotis bocagii",NA
"CHIROPTERA","VESPERTILIONIDAE","Myotis","Myotis tricolor",NA
"CHIROPTERA","VESPERTILIONIDAE","Myotis","Myotis welwitschii",NA
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus anchietai",NA
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus hesperidus","Pipistrellus kuhlii"
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus nanus","Neoromicia nanus"
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus rueppellii",NA
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus rusticus",NA
"CHIROPTERA","VESPERTILIONIDAE","Glauconycteris","Glauconycteris variegatus","Chalinolobus variegatus"
"CHIROPTERA","VESPERTILIONIDAE","Laephotis","Laephotis botswanae",NA
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus capensis","Eptesicus capensis"
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus capensis","Neoromicia capensis"
"CHIROPTERA","VESPERTILIONIDAE","Eptesicus","Eptesicus hottentotus",NA
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus melckorum","Eptesicus melckorum"
"CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus zuluensis","Eptesicus zuluensis"
"CHIROPTERA","VESPERTILIONIDAE","Scotophilus","Scotophilus viridis","Scotophilus borbonicus"
"CHIROPTERA","VESPERTILIONIDAE","Scotophilus","Scotophilus dinganii",NA
"CHIROPTERA","VESPERTILIONIDAE","Nycticeinops","Nycticeinops schlieffeni","Nycticeius schlieffenii"
"CHIROPTERA","VESPERTILIONIDAE","Kerivoula","Kerivoula argentata",NA
"CHIROPTERA","VESPERTILIONIDAE","Kerivoula","Kerivoula lanosa",NA
"CHIROPTERA","MOLOSSIDAE","Chaerephon","Chaerephon ansorgei","Tadarida ansorgei"
"CHIROPTERA","MOLOSSIDAE","Chaerephon","Chaerephon pumila","Tadarida pumila"
