"order","family","genus","binomial","synonym"
"Testudines","TESTUDINIDAE","Kinixys","Kinixys natalensis",NA
"Testudines","TESTUDINIDAE","Kinixys","Kinixys spekii","Kinixys belliana"
"Testudines","TESTUDINIDAE","Stigmochelus","Stigmochelus pardalis","Geochelone pardalis"
"Testudines","TESTUDINIDAE","Stigmochelus","Stigmochelus pardalis","Geochelone pardalis"
"Testudines","PELOMEDUSIDAE","Pelomedusa","Pelomedusa subrufa",NA
"Testudines","PELOMEDUSIDAE","Pelusios","Pelusios sinuatus",NA
"Testudines","PELOMEDUSIDAE","Pelusios","Pelusios subniger",NA
"Crocodilia","CROCODYLIDAE","Crocodylus","Crocodylus niloticus",NA
"Squamata","GEKKONIDAE","Afroedura","Afroedura haackei","Afroedura pondolia"
"Squamata","GEKKONIDAE","Afroedura","Afroedura langi","Afroedura langi"
"Squamata","GEKKONIDAE","Afroedura","Afroedura langi","Afroedura pondolia"
"Squamata","GEKKONIDAE","Afroedura","Afroedura marleyi",NA
"Squamata","GEKKONIDAE","Afroedura","Afroedura pienaari",NA
"Squamata","GEKKONIDAE","Afroedura","Afroedura transvaalica",NA
"Squamata","GEKKONIDAE","Chondrodactylus","Chondrodactylus turneri","Pachydactylus bibronii"
"Squamata","GEKKONIDAE","Hemidactylus","Hemidactylus mabouia",NA
"Squamata","GEKKONIDAE","Homopholis","Homopholis wahlbergii",NA
"Squamata","GEKKONIDAE","Lygodactylus","Lygodactylus capensis",NA
"Squamata","GEKKONIDAE","Lygodactylus","Lygodactylus stevensoni",NA
"Squamata","GEKKONIDAE","Pachydactylus","Pachydactylus affinis","Pachydactylus capensis"
"Squamata","GEKKONIDAE","Pachydactylus","Pachydactylus punctatus",NA
"Squamata","GEKKONIDAE","Pachydactylus","Pachydactylus vansoni","Pachydactylus capensis"
"Squamata","AGAMIDAE","Acanthocercus","Acanthocercus atricollis","Agama atricollis"
"Squamata","AGAMIDAE","Agama","Agama aculeata",NA
"Squamata","AGAMIDAE","Agama","Agama armata","Agama aculeata"
"Squamata","CHAMAELEONIDAE","Chamaeleo","Chamaeleo dilepis",NA
"Squamata","SCINCIDAE","Acontias","Acontias plumbeus",NA
"Squamata","SCINCIDAE","Acontias","Acontias aurantiacus",NA
"Squamata","SCINCIDAE","Acontias","Acontias cregoi",NA
"Squamata","SCINCIDAE","Afroablepharus","Afroablepharus macuicollis",NA
"Squamata","SCINCIDAE","Afroablepharus","Afroablepharus wahlbergi","Panaspis wahlbergii"
"Squamata","SCINCIDAE","Mochlus","Mochlus sundevali","Lygosoma sundevallii"
"Squamata","SCINCIDAE","Scelotes","Scelotes bidigittatus",NA
"Squamata","SCINCIDAE","Scelotes","Scelotes limpopoensis","Scelotes limpopoensis"
"Squamata","SCINCIDAE","Scelotes","Scelotes mossambicus","Scelotes brevipes"
"Squamata","SCINCIDAE","Trachylepis","Trachylepis depressa","Mabuya homalocephala"
"Squamata","SCINCIDAE","Trachylepis","Trachylepis margaritifer","Mabuya quinquetaeniata"
"Squamata","SCINCIDAE","Trachylepis","Trachylepis striata","Mabuya striata"
"Squamata","SCINCIDAE","Trachylepis","Trachylepis varia","Mabuya varia"
"Squamata","SCINCIDAE","Trachylepis","Trachylepis varia","Mabuya varia"
"Squamata","GERRHOSAURIDAE","Broadleysaurus","Broadleysaurus major",NA
"Squamata","GERRHOSAURIDAE","Matobosaurus","Matobosaurus validus","Gerrhosaurus validus"
"Squamata","GERRHOSAURIDAE","Gerrhosaurus","Gerrhosaurus flavigularis",NA
"Squamata","GERRHOSAURIDAE","Gerrhosaurus","Gerrhosaurus nigrolineatus",NA
"Squamata","CORDYLIDAE","Cordylus","Cordylus jonesii","Cordylus tropidosternum"
"Squamata","CORDYLIDAE","Cordylus","Cordylus vittifer",NA
"Squamata","CORDYLIDAE","Platysaurus","Platysaurus intermedius",NA
"Squamata","CORDYLIDAE","Platysaurus","Platysaurus intermedius",NA
"Squamata","CORDYLIDAE","Platysaurus","Platysaurus intermedius",NA
"Squamata","CORDYLIDAE","Smaug","Smaug barbetonensis",NA
"Squamata","CORDYLIDAE","Smaug","Smaug depressus","Cordylus warreni"
"Squamata","CORDYLIDAE","Smaug","Smaug depressus","Cordylus warreni"
"Squamata","CORDYLIDAE","Smaug","Smaug vandami","Cordylus vandami"
"Squamata","CORDYLIDAE","Smaug","Smaug vandami","Cordylus warreni"
"Squamata","CORDYLIDAE","Smaug","Smaug warreni","Cordylus warreni"
"Squamata","LACERTIDAE","Heliobolus","Heliobolus lugubris","Eremias Lampreremias"
"Squamata","LACERTIDAE","Meroles","Meroles squamaulosa","Ichnotropis squamulosa"
"Squamata","LACERTIDAE","Nucras","Nucras caesicaudata",NA
"Squamata","LACERTIDAE","Nucras","Nucras holubi","Nucras taeniolata"
"Squamata","LACERTIDAE","Nucras","Nucras holubi","Nucras taeniolata"
"Squamata","LACERTIDAE","Nucras","Nucras intertexta",NA
"Squamata","LACERTIDAE","Nucras","Nucras ornata","Nucras taeniolata"
"Squamata","VARANIDAE","Varanus","Varanus albigularis","Varanus exanthematicus"
"Squamata","VARANIDAE","Varanus","Varanus niloticus",NA
"Squamata","AMPHISBAENIDAE","Chirindia","Chirindia langi","Chirindia langi"
"Squamata","AMPHISBAENIDAE","Monopeltis","Monopeltis decosteri","Monopeltis capensis"
"Squamata","AMPHISBAENIDAE","Monopeltis","Monopeltis leonhardi",NA
"Squamata","AMPHISBAENIDAE","Monopeltis","Monopeltis sphenorhynchus",NA
"Squamata","AMPHISBAENIDAE","Zygaspis","Zygaspis quadrifrons",NA
"Squamata","AMPHISBAENIDAE","Zygaspis","Zygaspis violacea",NA
"Squamata","TYPHLOPIDAE","Afrotypholops","Afrotypholops schlegelii","Typhlops schlegelii"
"Squamata","TYPHLOPIDAE","Afrotypholops","Afrotypholops schlegelii","Rhinotyphlops schlegelii"
"Squamata","TYPHLOPIDAE","Rhinotyphlops","Rhinotyphlops lalandei","Typhlops lalandei"
"Squamata","LEPTOTYPHLOPIDAE","Leptotyphlops","Leptotyphlops distanti",NA
"Squamata","LEPTOTYPHLOPIDAE","Leptotyphlops","Leptotyphlops incognitus","Leptotyphlops conjunctus"
"Squamata","LEPTOTYPHLOPIDAE","Leptotyphlops","Leptotyphlops scutifrons",NA
"Squamata","LEPTOTYPHLOPIDAE","Leptotyphlops","Leptotyphlops scutifrons",NA
"Squamata","LEPTOTYPHLOPIDAE","Myriopholis","Myriopholis longicauda","Leptotyphlops longicaudus"
"Squamata","PYTHONIDAE","Python","Python natalensis",NA
"Squamata","LAMPROPHIIDAE","Amblyodipsas","Amblyodipsas concolor",NA
"Squamata","LAMPROPHIIDAE","Amblyodipsas","Amblyodipsas microphthalma","Amblyodipsas microphthalma"
"Squamata","LAMPROPHIIDAE","Amblyodipsas","Amblyodipsas microphthalma","Amblyodipsas microphthalma"
"Squamata","LAMPROPHIIDAE","Amblyodipsas","Amblyodipsas polylepis",NA
"Squamata","LAMPROPHIIDAE","Aparallactus","Aparallactus capensis",NA
