"class","order","family","genus","binomial","synonym"
"Mammalia","INSECTIVORA","SORICIDAE","Crocidura","Crocidura cyanea",NA
"Mammalia","INSECTIVORA","SORICIDAE","Crocidura","Crocidura fuscomurina",NA
"Mammalia","INSECTIVORA","SORICIDAE","Crocidura","Crocidura hirta",NA
"Mammalia","INSECTIVORA","SORICIDAE","Crocidura","Crocidura mariquensis",NA
"Mammalia","INSECTIVORA","SORICIDAE","Crocidura","Crocidura silacea",NA
"Mammalia","INSECTIVORA","SORICIDAE","Suncus","Suncus lixus",NA
"Mammalia","INSECTIVORA","ERINACEIDAE","Atelerix","Atelerix frontalis",NA
"Mammalia","INSECTIVORA","CHRYSOCHLORIDAE","Calcochloris","Calcochloris obtrusirostris",NA
"Mammalia","INSECTIVORA","CHRYSOCHLORIDAE","Neamblysomus","Neamblysomus julianae","Amblysomus julianae"
"Mammalia","CHIROPTERA","PTEROPODIDAE","Epomophorus","Epomophorus crypturus",NA
"Mammalia","CHIROPTERA","PTEROPODIDAE","Epomophorus","Epomophorus wahlbergi",NA
"Mammalia","CHIROPTERA","PTEROPODIDAE","Rousettus","Rousettus aegyptiacus",NA
"Mammalia","CHIROPTERA","PTEROPODIDAE","Taphozous","Taphozous mauritianus",NA
"Mammalia","CHIROPTERA","NYCTERIDAE","Nycteris","Nycteris thebaica",NA
"Mammalia","CHIROPTERA","NYCTERIDAE","Nycteris","Nycteris woodi",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus blasii",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus clivosus",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus darlingi",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus fumigatus",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus hildebrandtii",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus landeri",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus simulator",NA
"Mammalia","CHIROPTERA","RHINOLOPHIDAE","Rhinolophus","Rhinolophus swinnyi",NA
"Mammalia","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Hipposideros caffer",NA
"Mammalia","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","Hipposideros commersoni",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Miniopterus","Miniopterus schreibersii",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Myotis","Myotis bocagii",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Myotis","Myotis tricolor",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Myotis","Myotis welwitschii",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus anchietai",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus hesperidus","Pipistrellus kuhlii"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus nanus","Neoromicia nanus"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus rueppellii",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus rusticus",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Glauconycteris","Glauconycteris variegatus","Chalinolobus variegatus"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Laephotis","Laephotis botswanae",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus capensis","Eptesicus capensis"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus capensis","Neoromicia capensis"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Eptesicus","Eptesicus hottentotus",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus melckorum","Eptesicus melckorum"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Pipistrellus","Pipistrellus zuluensis","Eptesicus zuluensis"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Scotophilus","Scotophilus viridis","Scotophilus borbonicus"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Scotophilus","Scotophilus dinganii",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Nycticeinops","Nycticeinops schlieffeni","Nycticeius schlieffenii"
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Kerivoula","Kerivoula argentata",NA
"Mammalia","CHIROPTERA","VESPERTILIONIDAE","Kerivoula","Kerivoula lanosa",NA
"Mammalia","CHIROPTERA","MOLOSSIDAE","Chaerephon","Chaerephon ansorgei","Tadarida ansorgei"
"Mammalia","CHIROPTERA","MOLOSSIDAE","Chaerephon","Chaerephon pumila","Tadarida pumila"
