ABMSA145-13	Chordata;Mammalia;INSECTIVORA;CHRYSOCHLORIDAE;Neamblysomus;Neamblysomus_julianae
ABCDC271-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
ABCDC273-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
ABCDC277-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
ABCDC280-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
ABCDC347-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
ABCDC348-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
ABCDC349-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA15113-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA15114-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA15116-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA15117-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA15118-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA15120-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA15121-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA18279-19	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
GBMA18280-19	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442398.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442397.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442396.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442395.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442394.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442393.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442392.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
JF442391.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452620.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452619.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452618.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452616.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452615.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452614.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452613.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452612.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KF452611.1	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Epomophorus;Epomophorus_wahlbergi
KC702803	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
NC_007393	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC099-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC101-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC102-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC106-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC107-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC116-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC117-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC119-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC120-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC122-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC123-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC129-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC169-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC178-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC187-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC188-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC192-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC193-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC319-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC333-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC345-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM026-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM028-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM030-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM060-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BCBI090-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BCBI093-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BCBIW045-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BCBIW055-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BIFE053-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BIWE041-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BIWE045-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
BIWE057-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
GBMA16842-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
GBMA16845-17	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
GBMA21439-19	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
GBMA21440-19	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
SKBET059-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
SKBET060-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
SKBET061-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABBWP211-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABBWP354-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC064-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
